STATION,DATE,Max - EXITS                                                               ,
1 AV,09/28/2019,998909397,
,09/29/2019,998910087,
,09/30/2019,998911167,
,10/01/2019,998912234,
,10/02/2019,998913901,
,10/03/2019,998915518,
,10/04/2019,998917129,7732
103 ST,09/28/2019,44064353,
,09/29/2019,44065737,
,09/30/2019,44067922,
,10/01/2019,44070307,
,10/02/2019,44073321,
,10/03/2019,44076151,
,10/04/2019,44079043,14690
103 ST-CORONA,09/28/2019,24885850,
,09/29/2019,24887939,
,09/30/2019,24890520,
,10/01/2019,24893271,
,10/02/2019,24896216,
,10/03/2019,24899195,
,10/04/2019,24902213,16363
104 ST,09/28/2019,1907468416,
,09/29/2019,1907468256,
,09/30/2019,1907468164,
,10/01/2019,1907467915,
,10/02/2019,1907467654,
,10/03/2019,1907467353,
,10/04/2019,1907467003,-1413
110 ST,09/28/2019,12831122,
,09/29/2019,12832666,
,09/30/2019,12834922,
,10/01/2019,12837360,
,10/02/2019,12840115,
,10/03/2019,12842854,
,10/04/2019,12845767,14645
111 ST,09/28/2019,16777216,
,09/29/2019,16777216,
,09/30/2019,16777216,
,10/01/2019,16777216,
,10/02/2019,16777216,
,10/03/2019,16777216,
,10/04/2019,16777216,0
116 ST,09/28/2019,219120700,
,09/29/2019,219121211,
,09/30/2019,219121887,
,10/01/2019,219122579,
,10/02/2019,219123310,
,10/03/2019,219124131,
,10/04/2019,219124945,4245
116 ST-COLUMBIA,09/28/2019,235461598,
,09/29/2019,235461755,
,09/30/2019,235462241,
,10/01/2019,235462719,
,10/02/2019,235463261,
,10/03/2019,235463771,
,10/04/2019,235464253,2655
121 ST,09/28/2019,520211679,
,09/29/2019,520211972,
,09/30/2019,520212389,
,10/01/2019,520212810,
,10/02/2019,520213231,
,10/03/2019,520213638,
,10/04/2019,520214070,2391
125 ST,09/28/2019,1409470066,
,09/29/2019,1409470831,
,09/30/2019,1409472468,
,10/01/2019,1409474149,
,10/02/2019,1409476042,
,10/03/2019,1409478051,
,10/04/2019,1409479946,9880
135 ST,09/28/2019,16828039,
,09/29/2019,16828061,
,09/30/2019,16828081,
,10/01/2019,16828110,
,10/02/2019,16828146,
,10/03/2019,16828177,
,10/04/2019,16828214,175
137 ST CITY COL,09/28/2019,10120702,
,09/29/2019,10121420,
,09/30/2019,10122284,
,10/01/2019,10123244,
,10/02/2019,10124546,
,10/03/2019,10125918,
,10/04/2019,10127121,6419
138/GRAND CONC,09/28/2019,957800083,
,09/29/2019,957800550,
,09/30/2019,957801347,
,10/01/2019,957802182,
,10/02/2019,957803140,
,10/03/2019,957804063,
,10/04/2019,957805047,4964
14 ST,09/28/2019,1510716020,
,09/29/2019,1510714989,
,09/30/2019,1510714270,
,10/01/2019,1510712770,
,10/02/2019,1510711205,
,10/03/2019,1510709622,
,10/04/2019,1510707902,-8118
14 ST-UNION SQ,09/28/2019,30868749,
,09/29/2019,30871079,
,09/30/2019,30874699,
,10/01/2019,30878519,
,10/02/2019,30882687,
,10/03/2019,30887087,
,10/04/2019,30891614,22865
145 ST,09/28/2019,1444955086,
,09/29/2019,1444956004,
,09/30/2019,1444957194,
,10/01/2019,1444958576,
,10/02/2019,1444960014,
,10/03/2019,1444961562,
,10/04/2019,1444963076,7990
149/GRAND CONC,09/28/2019,1083216,
,09/29/2019,1084678,
,09/30/2019,1086564,
,10/01/2019,1088691,
,10/02/2019,1091494,
,10/03/2019,1094206,
,10/04/2019,1096714,13498
14TH STREET,09/28/2019,185611,
,09/29/2019,186709,
,09/30/2019,188552,
,10/01/2019,190524,
,10/02/2019,192641,
,10/03/2019,194728,
,10/04/2019,196634,11023
15 ST-PROSPECT,09/28/2019,2200594,
,09/29/2019,2201021,
,09/30/2019,2201641,
,10/01/2019,2202269,
,10/02/2019,2203041,
,10/03/2019,2203838,
,10/04/2019,2204641,4047
155 ST,09/28/2019,8154404,
,09/29/2019,8154965,
,09/30/2019,8155796,
,10/01/2019,8156734,
,10/02/2019,8157653,
,10/03/2019,8158580,
,10/04/2019,8159574,5170
157 ST,09/28/2019,9466645,
,09/29/2019,9468471,
,09/30/2019,9471097,
,10/01/2019,9473909,
,10/02/2019,9476712,
,10/03/2019,9479664,
,10/04/2019,9482718,16073
161/YANKEE STAD,09/28/2019,1895765511,
,09/29/2019,1895764463,
,09/30/2019,1895763437,
